service_id,date,exception_type
BSP24GEN-Q071-Weekday-00_C56,20240704,2
BSP24GEN-Q071-Weekday-00_C56,20240719,2
BSP24GEN-Q071-Weekday-00_C56,20240722,2
BSP24GEN-Q071-Weekday-00_C56,20240723,2
BSP24GEN-Q071-Weekday-00_C56,20240724,2
BSP24GEN-Q071-Weekday-00_C56,20240725,2
BSP24GEN-Q071-Weekday-00_C56,20240726,2
BSP24GEN-Q071-Weekday-00_C56,20240902,2
BSP24GEN-Q071-Weekday-00_C56,20241128,2
BSP24GEN-R051-Sunday-00_C4,20240721,2
BSP24GEN-R051-Sunday-00_C4,20240902,1
BSP24GEN-R051-Sunday-00_C4,20241128,1
BSP24GEN-R052-Saturday-00_C1,20240704,1
BSP24GEN-R052-Saturday-00_C1,20240720,2
BSP24GEN-R094-Weekday-00_C61,20240704,2
BSP24GEN-R094-Weekday-00_C61,20240719,2
BSP24GEN-R094-Weekday-00_C61,20240722,2
BSP24GEN-R094-Weekday-00_C61,20240723,2
BSP24GEN-R094-Weekday-00_C61,20240724,2
BSP24GEN-R094-Weekday-00_C61,20240725,2
BSP24GEN-R094-Weekday-00_C61,20240726,2
BSP24GEN-R094-Weekday-00_C61,20240902,2
BSP24GEN-R094-Weekday-00_C61,20241128,2
L0S1,20240719,1
L0S2,20240720,1
L0S2 -1,20240719,1
L0S3,20240721,1
L0S4,20240722,1
L0S5,20240723,1
L0S5 -1,20240722,1
L0S6,20240724,1
L0S6 -1,20240723,1
L0S7,20240725,1
L0S7 -1,20240724,1
L0S8,20240726,1
L0S8 -1,20240725,1
L0S9,20240727,1
L1S1,20240719,1
L1S2,20240720,1
L1S3,20240721,1
L1S4,20240722,1
L1S4 -1,20240721,1
L1S5,20240723,1
L1S6,20240724,1
L1S7,20240725,1
L1S8,20240726,1
L2S1,20240719,1
L2S2,20240722,1
L2S3,20240723,1
L2S4,20240724,1
L2S5,20240725,1
L2S6,20240726,1
L3S1,20240719,1
L3S2,20240723,1
L3S3,20240724,1
L3S4,20240725,1
L4S1,20240719,1
SIR-FA2017-SI017-Saturday-00_C19,20240704,1
SIR-FA2017-SI017-Saturday-00_C19,20240720,2
SIR-FA2017-SI017-Saturday-00_C19,20240727,2
SIR-FA2017-SI017-Sunday-00,20240902,1
SIR-FA2017-SI017-Sunday-00,20241128,1
SIR-FA2017-SI017-Sunday-00_C65,20240721,2
SIR-FA2017-SI017-Sunday-00_C65,20240902,1
SIR-FA2017-SI017-Sunday-00_C65,20241128,1
SIR-FA2017-SI017-Weekday-08,20240704,2
SIR-FA2017-SI017-Weekday-08,20240902,2
SIR-FA2017-SI017-Weekday-08,20241128,2
SIR-FA2017-SI017-Weekday-08_C24,20240704,2
SIR-FA2017-SI017-Weekday-08_C24,20240722,2
SIR-FA2017-SI017-Weekday-08_C24,20240723,2
SIR-FA2017-SI017-Weekday-08_C24,20240724,2
SIR-FA2017-SI017-Weekday-08_C24,20240725,2
SIR-FA2017-SI017-Weekday-08_C24,20240902,2
SIR-FA2017-SI017-Weekday-08_C24,20241128,2
SIR-FA2017-SI017-Weekday-08_C25,20240704,2
SIR-FA2017-SI017-Weekday-08_C25,20240719,2
SIR-FA2017-SI017-Weekday-08_C25,20240722,2
SIR-FA2017-SI017-Weekday-08_C25,20240723,2
SIR-FA2017-SI017-Weekday-08_C25,20240724,2
SIR-FA2017-SI017-Weekday-08_C25,20240725,2
SIR-FA2017-SI017-Weekday-08_C25,20240726,2
SIR-FA2017-SI017-Weekday-08_C25,20240902,2
SIR-FA2017-SI017-Weekday-08_C25,20241128,2
SIR-FA2017-SI017-Weekday-08_C26,20240704,2
SIR-FA2017-SI017-Weekday-08_C26,20240719,2
SIR-FA2017-SI017-Weekday-08_C26,20240724,2
SIR-FA2017-SI017-Weekday-08_C26,20240726,2
SIR-FA2017-SI017-Weekday-08_C26,20240902,2
SIR-FA2017-SI017-Weekday-08_C26,20241128,2
SIR-FA2017-SI017-Weekday-08_C27,20240704,2
SIR-FA2017-SI017-Weekday-08_C27,20240719,2
SIR-FA2017-SI017-Weekday-08_C27,20240726,2
SIR-FA2017-SI017-Weekday-08_C27,20240902,2
SIR-FA2017-SI017-Weekday-08_C27,20241128,2
SIR-FA2017-SI017-Weekday-08_C28,20240704,2
SIR-FA2017-SI017-Weekday-08_C28,20240724,2
SIR-FA2017-SI017-Weekday-08_C28,20240902,2
SIR-FA2017-SI017-Weekday-08_C28,20241128,2
SIR-FA2017-SI017-Weekday-08_C29,20240704,2
SIR-FA2017-SI017-Weekday-08_C29,20240719,2
SIR-FA2017-SI017-Weekday-08_C29,20240722,2
SIR-FA2017-SI017-Weekday-08_C29,20240723,2
SIR-FA2017-SI017-Weekday-08_C29,20240725,2
SIR-FA2017-SI017-Weekday-08_C29,20240726,2
SIR-FA2017-SI017-Weekday-08_C29,20240902,2
SIR-FA2017-SI017-Weekday-08_C29,20241128,2
